neighbourhood,Entire home/apt,Hotel room,Private room,Shared room,price,count
Buttes-Montmartre,5096,64,649,28,87.76272058,5837
Popincourt,4202,36,566,54,97.19575957,4858
Entrepôt,3065,62,486,41,105.5238095,3654
Vaugirard,3051,71,486,36,111.07382,3644
Batignolles-Monceau,2949,70,386,19,107.9778037,3424
Ménilmontant,2461,7,544,30,76.40203813,3042
Buttes-Chaumont,2397,12,535,42,78.59276624,2986
Opéra,1894,127,321,10,122.5093537,2352
Temple,2117,36,167,12,156.8649228,2332
Passy,1995,36,263,19,158.6597492,2313
Reuilly,1708,21,312,22,91.36888027,2063
Observatoire,1603,33,307,13,97.39212679,1956
Gobelins,1326,18,388,22,87.23660205,1754
Bourse,1416,51,166,14,148.0242866,1647
Panthéon,1354,54,207,13,137.4158477,1628
Hôtel-de-Ville,1335,16,132,9,162.6789544,1492
Luxembourg,1197,78,143,2,176.2126761,1420
Palais-Bourbon,1123,38,124,7,179.7376161,1292
Élysée,999,91,138,7,192.7846154,1235
Louvre,808,69,87,7,178.4654995,971
