neighbourhood,Entire home/apt,Hotel room,Private room,Shared room,price,count
Shinjuku Ku,1282,86,305,79,13349.19521,1752
Taito Ku,760,309,385,129,12264.13519,1583
Toshima Ku,875,108,158,16,12730.78133,1157
Sumida Ku,524,82,174,66,12667.09929,846
Shibuya Ku,637,22,101,5,15404.4,765
Minato Ku,234,117,74,38,13576.39525,463
Chuo Ku,172,113,73,34,12856.64286,392
Ota Ku,186,40,128,17,11616.32345,371
Nakano Ku,245,21,63,4,12751.73574,333
Suginami Ku,176,18,82,10,9674.828671,286
Arakawa Ku,127,67,80,9,10840.0106,283
Katsushika Ku,177,7,82,6,11047.85294,272
Itabashi Ku,147,28,81,9,8771.339623,265
Kita Ku,143,1,81,19,11145.63525,244
Setagaya Ku,139,6,56,7,12433.47596,208
Edogawa Ku,113,9,67,4,10593.32642,193
Adachi Ku,48,16,120,1,7123.259459,185
Shinagawa Ku,97,19,45,5,11750.16265,166
Koto Ku,71,23,45,20,10789.41509,159
Chiyoda Ku,28,43,51,22,15215.48611,144
Bunkyo Ku,83,19,19,0,11233.2314,121
Meguro Ku,29,15,24,10,12113.91026,78
Nerima Ku,31,1,45,1,7879.538462,78
Machida Shi,5,7,13,1,4590.038462,26
Oshima Machi,1,0,13,7,8462.666667,21
Hachioji Shi,8,0,8,0,8908.5,16
Musashino Shi,9,0,5,2,9367.1875,16
Hino Shi,3,0,11,0,6088.571429,14
Nishitokyo Shi,4,0,10,0,7938.357143,14
Higashimurayama Shi,10,0,3,0,6715,13
Akiruno Shi,5,5,2,0,4909.583333,12
Mitaka Shi,5,0,7,0,12885,12
Chofu Shi,3,0,8,0,8936.272727,11
Kokubunji Shi,7,0,3,0,4650.6,10
Higashikurume Shi,2,0,6,0,4275.5,8
Komae Shi,4,0,4,0,12152.25,8
Kunitachi Shi,4,0,3,0,3576,7
Kodaira Shi,3,0,3,0,6977.5,6
Ogasawara Mura,0,0,2,4,6923.666667,6
Tachikawa Shi,2,0,4,0,9315.5,6
Musashimurayama Shi,0,0,5,0,3237.2,5
Tama Shi,5,0,0,0,6301.6,5
Fuchu Shi,2,0,2,0,8632.25,4
Fussa Shi,1,0,3,0,3776.5,4
Hachijo Machi,1,3,0,0,15942,4
Koganei Shi,2,0,2,0,7283.25,4
Ome Shi,1,0,1,2,8686,4
Hamura Shi,3,0,0,0,6258,3
Hinohara Mura,2,0,1,0,19674,3
Inagi Shi,0,0,3,0,2409.666667,3
Niijima Mura,0,0,3,0,10035,3
Okutama Machi,2,0,1,0,21760,3
Akishima Shi,2,0,0,0,3992,2
Miyake Mura,0,2,0,0,14998.5,2
